label_target	label_others	model	epoch	loss	accuracy	precision	recall	model_path	model_init	col_labels	col_corpus	splits	ngram_size	vocab_size	batch_size	cbow
News & Politics	['Comedy']	wordembavg_2linear	0	0.685659671	0.581547618	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	wordembavg_2linear	1	0.684222579	0.581547618	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	wordembavg_2linear	2	0.694749999	0.581547618	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	wordembavg_2linear	3	0.689054596	0.581547618	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	wordembavg_2linear	4	0.682095039	0.581547618	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	wordembavg_2linear	test	0.693619827	0.547821969	nan	0	models/bigrams/politics_comedy/model_0_wordembavg_2linear.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	cnn	0	1.673814654	0.418452382	0.418250769	0.993333328	models/bigrams/politics_comedy/model_1_cnn.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'convs': ModuleList(
  (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))
  (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))
  (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1))
), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	cnn	1	0.91909163	0.528273809	0.319527912	0.229074074	models/bigrams/politics_comedy/model_1_cnn.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'convs': ModuleList(
  (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))
  (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))
  (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1))
), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	cnn	2	2.360248792	0.595833337	nan	0.035294119	models/bigrams/politics_comedy/model_1_cnn.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'convs': ModuleList(
  (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))
  (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))
  (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1))
), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
News & Politics	['Comedy']	cnn	3	2.114364743	0.415327382	0.415664685	0.980827892	models/bigrams/politics_comedy/model_1_cnn.pt	"{'embedding': Embedding(25002, 100, padding_idx=10686), 'convs': ModuleList(
  (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))
  (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))
  (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1))
), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}"	category_id	"['title', 'tags', 'description', 'caption']"	"[0.4, 0.4, 0.2]"	2	25000	64	False
